1636773450344|SEVERE|org.arl.unet.sim.HalfDuplexModem/Base@2642:die|Agent phy died: java.lang.NullPointerException
1636773563703|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773563703|INFO|AUV1_Agent/1@2624:println|AUV-1 [5773.95, 0.0, 0.0]
1636773565360|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773565360|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773565360|INFO|AUV1_Agent/1@2624:println|AUV-1 [5856.8, 0.0, 0.0]
1636773566371|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 69 
1636773567032|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773567032|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773567032|INFO|AUV1_Agent/1@2624:println|AUV-1 [5940.400000000001, 0.0, 0.0]
1636773568668|INFO|org.arl.unet.sim.SimulationAgent/2@2629:doInvoke|Motion update for 2: [duration:62.831853071795855, turnRate:-2.864788975654116]
1636773568670|INFO|org.arl.unet.sim.SimulationAgent/3@2633:doInvoke|Motion update for 3: [duration:62.831853071795855, turnRate:2.864788975654116]
1636773568670|INFO|org.arl.unet.sim.SimulationAgent/1@2625:doInvoke|Motion update for 1: [duration:62.831853071795855, turnRate:2.864788975654116]
1636773568703|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773568703|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773568703|INFO|AUV1_Agent/1@2624:println|AUV-1 [6023.949999251313, -0.0013612496911896699, 0.0]
1636773570363|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773570363|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773570363|INFO|AUV1_Agent/1@2624:println|AUV-1 [6106.848941223478, -3.580672338202251, 0.0]
1636773572041|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773572041|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773572041|INFO|AUV1_Agent/1@2624:println|AUV-1 [6190.053073802844, -14.170954866059127, 0.0]
1636773573708|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773573708|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773573708|INFO|AUV1_Agent/1@2624:println|AUV-1 [6271.544445184133, -31.55939441550992, 0.0]
1636773574170|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 74 
1636773575370|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773575370|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773575370|INFO|AUV1_Agent/1@2624:println|AUV-1 [6351.069169873903, -55.589690367356944, 0.0]
1636773575734|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 75 
1636773577030|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773577030|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773577030|INFO|AUV1_Agent/1@2624:println|AUV-1 [6428.233460875763, -86.097365502525, 0.0]
1636773577293|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 76 
1636773578699|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773578699|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773578699|INFO|AUV1_Agent/1@2624:println|AUV-1 [6502.997528877032, -123.11352745551184, 0.0]
1636773578862|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 77 
1636773580364|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773580364|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773580364|INFO|AUV1_Agent/1@2624:println|AUV-1 [6574.249243859242, -166.1222918177919, 0.0]
1636773580423|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 78 
1636773582033|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773582033|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773582033|INFO|AUV1_Agent/1@2624:println|AUV-1 [6641.834855119857, -215.0308520128845, 0.0]
1636773583711|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773583711|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773583711|INFO|AUV1_Agent/1@2624:println|AUV-1 [6705.437288860984, -269.7100270661906, 0.0]
1636773585365|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773585365|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773585365|INFO|AUV1_Agent/1@2624:println|AUV-1 [6763.42869414307, -328.63701418845875, 0.0]
1636773586752|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 82 
1636773587030|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773587030|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773587030|INFO|AUV1_Agent/1@2624:println|AUV-1 [6816.68838932813, -392.5898528171758, 0.0]
1636773588347|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 83 
1636773588710|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773588710|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773588710|INFO|AUV1_Agent/1@2624:println|AUV-1 [6864.849905757821, -461.38171558376644, 0.0]
1636773589970|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 84 
1636773590369|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773590369|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773590369|INFO|AUV1_Agent/1@2624:println|AUV-1 [6906.580067696404, -533.0430834918022, 0.0]
1636773591581|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 85 
1636773592041|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773592041|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773592041|INFO|AUV1_Agent/1@2624:println|AUV-1 [6942.48391005323, -608.5136379397758, 0.0]
1636773593198|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 86 
1636773593712|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773593713|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773593713|INFO|AUV1_Agent/1@2624:println|AUV-1 [6971.9603685725815, -686.7186817529815, 0.0]
1636773594837|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 87 
1636773595373|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773595373|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773595373|INFO|AUV1_Agent/1@2624:println|AUV-1 [6994.663645554331, -766.5285010878389, 0.0]
1636773596460|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 88 
1636773597044|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773597044|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773597044|INFO|AUV1_Agent/1@2624:println|AUV-1 [7010.75563438522, -848.4894100991224, 0.0]
1636773598123|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 89 
1636773598714|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773598714|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
